None
None
[0.001783132553100586, -247L]
[0.004602909088134766, 153L]
[0.016149044036865234, 320L]
[0.02768993377685547, 1505L]
[0.03942108154296875, 1986L]
[0.05059099197387695, 944L]
[0.062042951583862305, 969L]
[0.0736849308013916, 296L]
[0.08500504493713379, 2682L]
[0.09666109085083008, 3450L]
[0.10807204246520996, 1156L]
[0.11935997009277344, 777L]
[0.13115811347961426, 2175L]
[0.14243793487548828, 2143L]
[0.1538701057434082, 1239L]
[0.16561603546142578, 171L]
[0.17672109603881836, -1162L]
[0.1888439655303955, -176L]
[0.19989490509033203, 1451L]
[0.21115708351135254, 1901L]
[0.2230219841003418, 689L]
[0.23425507545471191, 1674L]
[0.245819091796875, 1788L]
[0.25731801986694336, 1187L]
[0.26856112480163574, 1585L]
[0.2803990840911865, 777L]
[0.29175710678100586, 941L]
[0.3030121326446533, 520L]
[0.3147449493408203, -189L]
[0.32597994804382324, 419L]
[0.3378310203552246, 25L]
[0.34920310974121094, -713L]
[0.3604419231414795, -548L]
[0.37221693992614746, 68L]
[0.3836359977722168, 39L]
[0.3949880599975586, 1373L]
[0.4066319465637207, 743L]
[0.41786909103393555, 108L]
[0.4299170970916748, 500L]
[0.4411509037017822, -333L]
[0.452333927154541, 1044L]
[0.46430206298828125, 677L]
[0.47537708282470703, 758L]
[0.48690199851989746, 2117L]
[0.4985220432281494, 1079L]
[0.509782075881958, -7L]
[0.5219039916992188, -26L]
[0.532952070236206, -448L]
[0.5442249774932861, 1508L]
[0.5561881065368652, 1053L]
[0.5673151016235352, 707L]
[0.5788519382476807, 89L]
[0.5904099941253662, 270L]
[0.6019010543823242, 1044067L]
[0.6643939018249512, 485L]
[0.675792932510376, -531L]
[0.6873369216918945, 625L]
[0.6989130973815918, 1233L]
[0.7103450298309326, -332L]
[0.7216141223907471, 1579L]
[0.7333829402923584, 332L]
[0.7448151111602783, 723L]
[0.756181001663208, 2820L]
[0.7678170204162598, 2835L]
[0.7790601253509521, 2501L]
[0.7911829948425293, 1388L]
[0.8022589683532715, 16L]
[0.8135170936584473, -151L]
[0.8255019187927246, -149L]
[0.836604118347168, -125L]
[0.8481719493865967, 749L]
[0.8597280979156494, 35L]
[0.8709990978240967, 164L]
[0.883065938949585, -36L]
[0.8941740989685059, -1403L]
[0.9054350852966309, -1602L]
[0.917262077331543, -567L]
[0.9284219741821289, 430L]
[0.9400839805603027, 498L]
[0.9516820907592773, 590L]
[0.9628798961639404, 322L]
[0.9749810695648193, 837L]
[0.9860849380493164, 264L]
[0.9973471164703369, 405L]
[1.0091540813446045, -628L]
[1.020339012145996, -1457L]
[1.0320091247558594, -1134L]
[1.043539047241211, 478L]
[1.0547969341278076, 636L]
[1.06691312789917, -99L]
[1.0780041217803955, 383L]
[1.0892601013183594, 1665L]
[1.1011099815368652, 239L]
[1.1122488975524902, -785L]
[1.1239259243011475, -607L]
[1.1354479789733887, 904L]
[1.146712064743042, 2025L]
[1.1588099002838135, 282L]
[1.1699259281158447, 1131L]
[1.1812069416046143, 1766L]
[1.1929810047149658, -97L]
[1.2041630744934082, 458L]
[1.2158350944519043, 672L]
[1.2273879051208496, -936L]
[1.238616943359375, 1185L]
[1.2507069110870361, 596L]
[1.2618260383605957, -592L]
[1.2733230590820312, 1515L]
[1.2849469184875488, 643L]
[1.2960929870605469, 236L]
[1.3077590465545654, 119L]
[1.3192930221557617, 603L]
[1.3305299282073975, 911L]
[1.342642068862915, 682L]
[1.3537359237670898, 1602L]
[1.3649969100952148, 1505L]
[1.3767979145050049, 622L]
[1.3879859447479248, 568L]
[1.3996529579162598, -486L]
[1.4112699031829834, -925L]
[1.4738390445709229, -1062L]
[1.4852299690246582, -970L]
[1.496786117553711, -753L]
[1.508376121520996, -860L]
[1.5197911262512207, 4L]
[1.5310781002044678, 879L]
[1.5428180694580078, -650L]
[1.554258108139038, 1221L]
[1.5656120777130127, 649L]
[1.5772640705108643, -810L]
