None
None
[0.001077890396118164, -988L]
[0.0035400390625, -1502L]
[0.01516580581665039, -908L]
[0.026593923568725586, 938L]
[0.03823685646057129, 979L]
[0.04997897148132324, -157L]
[0.06104087829589844, 1717L]
[0.07266497611999512, -102L]
[0.08396601676940918, 317L]
[0.09555888175964355, -33L]
[0.1070718765258789, -326L]
[0.11822700500488281, 1131L]
[0.13012194633483887, 2200L]
[0.1414170265197754, 1411L]
[0.15277600288391113, 912L]
[0.16455388069152832, -577L]
[0.1758580207824707, -805L]
[0.18755698204040527, -1772L]
[0.19884586334228516, 1067L]
[0.21010589599609375, 2497L]
[0.22188782691955566, 1953L]
[0.23331999778747559, 56L]
[0.2448258399963379, -109L]
[0.25631189346313477, -1724L]
[0.26761698722839355, -1506L]
[0.2796778678894043, -113L]
[0.2907569408416748, 1209L]
[0.3020288944244385, 1676L]
[0.31385087966918945, 734L]
[0.32502102851867676, 1213L]
[0.3366858959197998, 894L]
[0.348207950592041, -932L]
[0.3594679832458496, -1694L]
[0.3715829849243164, -462L]
[0.3827078342437744, -307L]
[0.3940739631652832, 901L]
[0.4058349132537842, 1205L]
[0.4169349670410156, -130L]
[0.4286048412322998, 66L]
[0.44012999534606934, -1260L]
[0.45139002799987793, -99L]
[0.4635028839111328, 24L]
[0.4746098518371582, -658L]
[0.4858579635620117, -68L]
[0.49764084815979004, 390L]
[0.5088958740234375, -429L]
[0.5205178260803223, -698L]
[0.5320568084716797, -1512L]
[0.5432968139648438, -560L]
[0.5555169582366943, -370L]
[0.5665009021759033, 739L]
[0.5777649879455566, 847L]
[0.5895810127258301, -635L]
[0.6007559299468994, -104L]
[0.6124298572540283, 1370L]
[0.6239728927612305, -2573L]
[0.6352460384368896, -1568L]
[0.6473939418792725, 1247L]
[0.6584060192108154, -86L]
[0.6697068214416504, -1932L]
[0.6814968585968018, 297L]
[0.6926889419555664, 1653L]
[0.7043628692626953, -848L]
[0.7159619331359863, -188L]
[0.7271289825439453, 1803L]
[0.7392430305480957, 613L]
[0.7503440380096436, -714L]
[0.7615959644317627, 245L]
[0.7734029293060303, -929L]
[0.7845888137817383, -1511L]
[0.7962648868560791, -385L]
[0.8077819347381592, -808L]
[0.8190410137176514, 105L]
[0.8311498165130615, 1463L]
[0.8422489166259766, 439L]
[0.8535139560699463, 1759L]
[0.8653779029846191, 390L]
[0.8764998912811279, -1653L]
[0.8881850242614746, -190L]
[0.8996989727020264, 477L]
[0.910959005355835, 1626L]
[0.9230458736419678, 1233L]
[0.9341859817504883, -973L]
[0.9454588890075684, -601L]
[0.9572288990020752, -532L]
[0.9686000347137451, 194L]
[0.9801750183105469, 779L]
[0.9916179180145264, 1094L]
[1.0028769969940186, 2282L]
[1.014753818511963, 1527L]
[1.0260889530181885, -535L]
[1.0373480319976807, 26L]
[1.04909086227417, -655L]
[1.06032395362854, 383L]
[1.0721988677978516, 517L]
[1.0835540294647217, -186L]
[1.0947940349578857, -192L]
[1.1065828800201416, -1794L]
[1.1179978847503662, -87L]
[1.129361867904663, 840L]
[1.141014814376831, -245L]
[1.1522388458251953, 672L]
[1.164336919784546, 1902L]
[1.1755249500274658, 845L]
[1.1867120265960693, 1690L]
[1.1987218856811523, 618L]
[1.2097549438476562, -322L]
[1.2213549613952637, 205L]
[1.232914924621582, 893L]
[1.244168996810913, 176L]
[1.2562329769134521, -276L]
[1.2673678398132324, -125L]
[1.278627872467041, 1217L]
[1.2906370162963867, 835L]
[1.3017199039459229, 118L]
[1.3132908344268799, 96L]
[1.3248388767242432, -1325L]
[1.3360798358917236, 453L]
[1.3481948375701904, 1302L]
[1.3592638969421387, -230L]
[1.3705339431762695, 998L]
[1.382347822189331, 60L]
[1.3935320377349854, -897L]
[1.4052889347076416, 32L]
[1.4167380332946777, 1079L]
[1.4279868602752686, 2422L]
[1.440129041671753, 1820L]
[1.451185941696167, -1995L]
[1.4624488353729248, -1914L]
[1.474261999130249, -395L]
[1.4854698181152344, -600L]
[1.4971199035644531, -432L]
[1.5086379051208496, 566L]
[1.5199170112609863, 536L]
[1.5320448875427246, 1465L]
[1.543097972869873, 1072L]
